   # This file was created in 2015
   # frequency [MHz]   real(s11)   imag(s11)   real(s12s21)   imag(s12s21)   real(s22)   imag(s22)
   8.8000000000000000e+01   3.2605197804869471e-03   1.4283744341930271e-03   8.9923147868440534e-01  -4.2518837716352187e-01   2.6655222114195529e-03  -8.1779631896005279e-05
   8.9000000000000000e+01   3.2878255559582303e-03   1.4222107957747687e-03   8.9706421059477481e-01  -4.2963995556832379e-01   2.6801028213006097e-03  -1.0368969780397662e-04
   9.0000000000000000e+01   3.3168789975995716e-03   1.4154718527814860e-03   8.9486996022381005e-01  -4.3408604669723483e-01   2.6957280628433933e-03  -1.2760667448751591e-04
   9.1000000000000000e+01   3.3449552693266774e-03   1.4081891713925894e-03   8.9265359206767481e-01  -4.3852672405859011e-01   2.7095211958128463e-03  -1.5529425947120130e-04
   9.2000000000000000e+01   3.3725761069646441e-03   1.4005091371362645e-03   8.9041812818521204e-01  -4.4295022847370524e-01   2.7234222698424445e-03  -1.7695512507585323e-04
   9.3000000000000000e+01   3.4001100681108195e-03   1.3933167379873716e-03   8.8816211757524477e-01  -4.4735657743622986e-01   2.7373939293766011e-03  -2.0000390252753473e-04
   9.4000000000000000e+01   3.4288841115611424e-03   1.3861011259751277e-03   8.8588042665277777e-01  -4.5175821646246839e-01   2.7492335562981206e-03  -2.2794747470914400e-04
   9.5000000000000000e+01   3.4562507263957262e-03   1.3773862436877451e-03   8.8357653900507638e-01  -4.5614923923044259e-01   2.7630623280047186e-03  -2.5285836038589377e-04
   9.6000000000000000e+01   3.4841981862001217e-03   1.3693914441096351e-03   8.8125727736656645e-01  -4.6052018343525325e-01   2.7729517101054268e-03  -2.7663926241477130e-04
   9.7000000000000000e+01   3.5114775682225674e-03   1.3607890295301941e-03   8.7891039330151299e-01  -4.6488485689929471e-01   2.7861326573846413e-03  -3.0477130486801941e-04
   9.8000000000000000e+01   3.5401634163736572e-03   1.3514951920092781e-03   8.7654535821516222e-01  -4.6923246153174325e-01   2.7974022541608287e-03  -3.2818769434837325e-04
   9.9000000000000000e+01   3.5657529583284597e-03   1.3422835436784390e-03   8.7415819928856420e-01  -4.7357079921343659e-01   2.8105418136603962e-03  -3.5369992878107317e-04
   1.0000000000000000e+02   3.5936175714836524e-03   1.3334990857555341e-03   8.7175237573988740e-01  -4.7789573037361877e-01   2.8218328719790023e-03  -3.7722305909903891e-04
   1.0100000000000000e+02   3.6213577011512642e-03   1.3239345135812679e-03   8.6932189240613100e-01  -4.8221177682430844e-01   2.8333840625910031e-03  -4.0278846655646041e-04
   1.0200000000000000e+02   3.6489600517526266e-03   1.3147915126664391e-03   8.6687244558403942e-01  -4.8650965033816562e-01   2.8462806181458501e-03  -4.3017348966619068e-04
   1.0300000000000000e+02   3.6755480970052340e-03   1.3057525854606475e-03   8.6439680657088447e-01  -4.9080422716823557e-01   2.8570481785471125e-03  -4.5894954090750645e-04
   1.0400000000000000e+02   3.7024410762703862e-03   1.2958594047938823e-03   8.6190613486700918e-01  -4.9507674000623203e-01   2.8689161806192695e-03  -4.8332770898005953e-04
   1.0500000000000000e+02   3.7299252939895990e-03   1.2846363268498946e-03   8.5938768584045133e-01  -4.9934800584989208e-01   2.8785925829475220e-03  -5.1219211754293358e-04
   1.0600000000000000e+02   3.7560644263802340e-03   1.2734990830582480e-03   8.5685493681250502e-01  -5.0359169856830910e-01   2.8895510440734573e-03  -5.3435694371268888e-04
   1.0700000000000000e+02   3.7825588419656891e-03   1.2629152384311777e-03   8.5429429048801342e-01  -5.0783436968062190e-01   2.9002223715350272e-03  -5.5976366982305858e-04
   1.0800000000000000e+02   3.8093687872820950e-03   1.2524254349877693e-03   8.5172248165284126e-01  -5.1205029854134299e-01   2.9096198298726988e-03  -5.8174835146338269e-04
   1.0900000000000000e+02   3.8349339799258089e-03   1.2413754347405490e-03   8.4912519650359997e-01  -5.1626173037194378e-01   2.9221022371317801e-03  -6.0732246934850406e-04
