# f, real(s11), imag(s11), abs(s21), real(s22), imag(s22)
5.082397461000000050e+01 3.338800544404501355e-03 1.027547363637647954e-03 9.980876891586516475e-01 1.010172387229603570e-03 1.248303708837276938e-03
5.083007812000000314e+01 3.339022051446274841e-03 1.027505547483471924e-03 9.980875386525945858e-01 1.010348378470583104e-03 1.248302417142156066e-03
5.083618163999999950e+01 3.339243567212657037e-03 1.027463658079185707e-03 9.980873891339808734e-01 1.010524373197775258e-03 1.248301154991586460e-03
5.084228516000000297e+01 3.339465091290233414e-03 1.027421695551890756e-03 9.980872406008477471e-01 1.010700371109070784e-03 1.248299922322269797e-03
5.084838866999999851e+01 3.339686623265578601e-03 1.027379660029134568e-03 9.980870930509726513e-01 1.010876371902339399e-03 1.248298719070778514e-03
5.085449219000000198e+01 3.339908163814204762e-03 1.027337551431757590e-03 9.980869464811710223e-01 1.011052376140536384e-03 1.248297545167862451e-03
5.086059569999999752e+01 3.340129712159809697e-03 1.027295369956291197e-03 9.980868008889802745e-01 1.011228383233169891e-03 1.248296400552125623e-03
5.086669922000000099e+01 3.340351268978060829e-03 1.027253115523032220e-03 9.980866562707533252e-01 1.011404393743220356e-03 1.248295285154641179e-03
5.087280272999999653e+01 3.340572833492704528e-03 1.027210788328923379e-03 9.980865126235622942e-01 1.011580407080179449e-03 1.248294198913953504e-03
5.087890625000000000e+01 3.340794406379560440e-03 1.027168388293718537e-03 9.980863699433148994e-01 1.011756423807053627e-03 1.248293141761458620e-03
5.088500977000000347e+01 3.341015987225469906e-03 1.027125915545124132e-03 9.980862282264034713e-01 1.011932443621712608e-03 1.248292113633979634e-03
5.089111327999999901e+01 3.341237575617271669e-03 1.027083370211291993e-03 9.980860874690044016e-01 1.012108466222007242e-03 1.248291114468216920e-03
5.089721680000000248e+01 3.341459172231013922e-03 1.027040752211161312e-03 9.980859476663916929e-01 1.012284492170981934e-03 1.248290144196048321e-03
5.090332030999999802e+01 3.341680776290567936e-03 1.026998061742700899e-03 9.980858088145546647e-01 1.012460520878089541e-03 1.248289202755870336e-03
5.090942383000000149e+01 3.341902388472134996e-03 1.026955298724309580e-03 9.980856709083705258e-01 1.012636552906399619e-03 1.248288290079881081e-03
5.091552733999999703e+01 3.342124007999635379e-03 1.026912463354365561e-03 9.980855339434266948e-01 1.012812587665350931e-03 1.248287406106419811e-03
5.092163086000000050e+01 3.342345635549419554e-03 1.026869555550726214e-03 9.980853979142179089e-01 1.012988625718036885e-03 1.248286550768003397e-03
5.092773437999999686e+01 3.342567270708593843e-03 1.026826575441701231e-03 9.980852628157316220e-01 1.013164666762309636e-03 1.248285724001582881e-03
5.093383788999999950e+01 3.342788913064260667e-03 1.026783523156039836e-03 9.980851286427558922e-01 1.013340710496004639e-03 1.248284925743987223e-03
5.093994141000000297e+01 3.343010563293000777e-03 1.026740398610791888e-03 9.980849953892512172e-01 1.013516757482252600e-03 1.248284155928209693e-03
5.094604491999999851e+01 3.343232220618858486e-03 1.026697202005354094e-03 9.980848630498787566e-01 1.013692807130456936e-03 1.248283414492448598e-03
5.095214844000000198e+01 3.343453885718565034e-03 1.026653933256236381e-03 9.980847316182547280e-01 1.013868860003773508e-03 1.248282701370014231e-03
5.095825194999999752e+01 3.343675557816217208e-03 1.026610592563242897e-03 9.980846010886991193e-01 1.014044915511590770e-03 1.248282016499048302e-03
5.096435547000000099e+01 3.343897237588694133e-03 1.026567179842346024e-03 9.980844714545066276e-01 1.014220974217090818e-03 1.248281359813177257e-03
5.097045897999999653e+01 3.344118924260147240e-03 1.026523695293756486e-03 9.980843427096703913e-01 1.014397035529647799e-03 1.248280731250488813e-03
5.097656250000000000e+01 3.344340618507602673e-03 1.026480138832908465e-03 9.980842148471809061e-01 1.014573100012468310e-03 1.248280130744923184e-03
5.098266602000000347e+01 3.344562319918504157e-03 1.026436510588877747e-03 9.980840878605137245e-01 1.014749167363385206e-03 1.248279558233598811e-03
5.098876952999999901e+01 3.344784028080303659e-03 1.026392810691181389e-03 9.980839617429896338e-01 1.014925237280215296e-03 1.248279013653514225e-03
5.099487305000000248e+01 3.345005743670247632e-03 1.026349039054447144e-03 9.980838364871698065e-01 1.015101310326201609e-03 1.248278496939081482e-03
5.100097655999999802e+01 3.345227465912618912e-03 1.026305195879899249e-03 9.980837120863026435e-01 1.015277385910686196e-03 1.248278008028253210e-03
5.100708008000000149e+01 3.345449195484813572e-03 1.026261281081631378e-03 9.980835885326756474e-01 1.015453464596936155e-03 1.248277546855752198e-03
5.101318358999999703e+01 3.345670931611169959e-03 1.026217294861269573e-03 9.980834658192654363e-01 1.015629545794281829e-03 1.248277113359478815e-03
5.101928711000000050e+01 3.345892674969227695e-03 1.026173237132374950e-03 9.980833439381110450e-01 1.015805630066015253e-03 1.248276707474467234e-03
5.102539062000000314e+01 3.346114424783382373e-03 1.026129108096975788e-03 9.980832228819245255e-01 1.015981716821453542e-03 1.248276329138566648e-03
5.103149413999999950e+01 3.346336181731314995e-03 1.026084907668097608e-03 9.980831026425085462e-01 1.016157806623912150e-03 1.248275978287120879e-03
5.103759766000000297e+01 3.346557945400822302e-03 1.026040635975580340e-03 9.980829832121402845e-01 1.016333899171210052e-03 1.248275654857419889e-03
5.104370116999999851e+01 3.346779715379702338e-03 1.025996293149694996e-03 9.980828645829759038e-01 1.016509994161149096e-03 1.248275358786638933e-03
5.104980469000000198e+01 3.347001492345855114e-03 1.025951879102668905e-03 9.980827467464816749e-01 1.016686092157082682e-03 1.248275090010585869e-03
5.105590819999999752e+01 3.347223275523816734e-03 1.025907394037535187e-03 9.980826296947913345e-01 1.016862192568298651e-03 1.248274848466982175e-03
5.106201172000000099e+01 3.347445065591628591e-03 1.025862837865988610e-03 9.980825134191633197e-01 1.017038295958172956e-03 1.248274634091942970e-03
5.106811522999999653e+01 3.347666861773884901e-03 1.025818210791463667e-03 9.980823979115214239e-01 1.017214401735983247e-03 1.248274446823140725e-03
5.107421875000000000e+01 3.347888664748770171e-03 1.025773512725122348e-03 9.980822831629316827e-01 1.017390510465129329e-03 1.248274286596996307e-03
5.108032227000000347e+01 3.348110474104351326e-03 1.025728743797392440e-03 9.980821691649346405e-01 1.017566621843419769e-03 1.248274153350938023e-03
5.108642577999999901e+01 3.348332289428703964e-03 1.025683904139128473e-03 9.980820559089770283e-01 1.017742735568650126e-03 1.248274047022280989e-03
5.109252930000000248e+01 3.348554111400227698e-03 1.025638993660701187e-03 9.980819433858534317e-01 1.017918852204256850e-03 1.248273967547904473e-03
5.109863280999999802e+01 3.348775939243657258e-03 1.025594012566539938e-03 9.980818315870252366e-01 1.018094971159489836e-03 1.248273914865360599e-03
5.110473633000000149e+01 3.348997773637532333e-03 1.025548960766486375e-03 9.980817205031274897e-01 1.018271092997807652e-03 1.248273888911831560e-03
5.111083983999999703e+01 3.349219613806650540e-03 1.025503838465367107e-03 9.980816101254503803e-01 1.018447217128452386e-03 1.248273889624823291e-03
5.111694336000000050e+01 3.349441460429689044e-03 1.025458645572495560e-03 9.980815004444810734e-01 1.018623344114905375e-03 1.248273916941820480e-03
5.112304687999999686e+01 3.349663313094992326e-03 1.025413382218878918e-03 9.980813914511785789e-01 1.018799473654970417e-03 1.248273970800393030e-03
